clip,label
1029_IEO_HAP_MD,1
1030_WSI_HAP_XX,1
1064_IEO_HAP_HI,1
1050_DFA_HAP_XX,1
1032_IWW_HAP_XX,1
1080_ITS_ANG_XX,1
1076_IWL_HAP_XX,1
1009_IEO_HAP_HI,1
1057_TSI_HAP_XX,1
1080_IEO_ANG_LO,1
1027_WSI_HAP_XX,1
1043_IWL_ANG_XX,1
1040_TIE_HAP_XX,1
1001_TSI_HAP_XX,1
1057_WSI_HAP_XX,1
1075_DFA_ANG_XX,0
1086_WSI_NEU_XX,0
1065_DFA_SAD_XX,0
1088_IEO_SAD_HI,0
1065_IEO_HAP_MD,0
1086_TIE_ANG_XX,0
1001_IEO_SAD_MD,0
1064_MTI_HAP_XX,0
1090_DFA_DIS_XX,0
1009_DFA_FEA_XX,0
1059_IOM_ANG_XX,0
1023_IEO_FEA_MD,0
1023_ITS_FEA_XX,0
1050_WSI_NEU_XX,0
1065_IOM_NEU_XX,0
1069_IWL_SAD_XX,0
1048_DFA_DIS_XX,0
1050_IEO_SAD_MD,0
1022_WSI_DIS_XX,0
1022_IEO_FEA_LO,0
1062_IOM_ANG_XX,0
1068_IEO_FEA_HI,0
1079_DFA_SAD_XX,0
1072_IWW_NEU_XX,0
1055_TIE_DIS_XX,0
1040_MTI_NEU_XX,0
1017_ITS_SAD_XX,0
1090_WSI_ANG_XX,0
1014_IWL_FEA_XX,0
1061_MTI_ANG_XX,0
1005_TAI_FEA_XX,0
1064_IEO_DIS_LO,0
1059_IEO_ANG_HI,0
1076_IWL_NEU_XX,0
1039_WSI_ANG_XX,0
1009_TIE_ANG_XX,0
1047_IEO_FEA_LO,0
1030_ITH_HAP_XX,0
1016_IWW_NEU_XX,0
1069_TIE_NEU_XX,0
1039_IOM_ANG_XX,0
1044_WSI_FEA_XX,0
1086_TAI_NEU_XX,0
1041_TSI_DIS_XX,0
1052_MTI_HAP_XX,0
1078_TIE_NEU_XX,0
1089_IWW_ANG_XX,0
1048_IEO_FEA_MD,0
1091_IWW_ANG_XX,0
1068_TSI_NEU_XX,0
1050_IEO_ANG_MD,0
1075_WSI_ANG_XX,0
1054_DFA_NEU_XX,0
1051_TSI_SAD_XX,0
1012_ITH_FEA_XX,0
1028_IEO_ANG_HI,0
1044_IOM_SAD_XX,0
1050_IEO_FEA_HI,0
1071_WSI_ANG_XX,0
1047_IEO_SAD_MD,0
1001_IEO_SAD_LO,0
1001_MTI_SAD_XX,0
1047_IWW_NEU_XX,0
1003_ITS_ANG_XX,0
1083_WSI_NEU_XX,0
1005_WSI_DIS_XX,0
1033_DFA_ANG_XX,0
1061_WSI_HAP_XX,0
1059_TSI_NEU_XX,0
1001_DFA_NEU_XX,0
1066_ITS_SAD_XX,0
1089_IWW_FEA_XX,0
1067_TIE_NEU_XX,0
1004_ITH_ANG_XX,0
1052_TSI_FEA_XX,0
1026_IEO_SAD_HI,0
1086_WSI_HAP_XX,0
1061_IEO_DIS_HI,0
1018_IOM_FEA_XX,0
1083_MTI_HAP_XX,0
1022_IEO_SAD_HI,0
1031_IWL_FEA_XX,0
1028_WSI_SAD_XX,0
1065_ITH_ANG_XX,0
1022_DFA_DIS_XX,0
1077_ITH_ANG_XX,0
1062_TIE_NEU_XX,0
1014_MTI_SAD_XX,0
1006_IEO_DIS_MD,0
1036_IWW_ANG_XX,0
1026_TAI_NEU_XX,0
1045_TAI_FEA_XX,0
1034_TAI_HAP_XX,0
1075_IEO_HAP_HI,0
1002_IEO_FEA_HI,0
1017_IEO_FEA_LO,0
1069_TSI_FEA_XX,0
1022_IEO_ANG_HI,0
1019_TAI_ANG_XX,0
1089_IEO_NEU_XX,0
1006_IWW_NEU_XX,0
1083_DFA_NEU_XX,0
1010_DFA_ANG_XX,0
1007_IWL_ANG_XX,0
1023_TIE_ANG_XX,0
1078_IOM_ANG_XX,0
1035_TSI_DIS_XX,0
1041_WSI_NEU_XX,0
1085_DFA_NEU_XX,0
1026_ITH_NEU_XX,0
1038_TAI_HAP_XX,0
1012_TIE_FEA_XX,0
1023_TAI_SAD_XX,0
1017_IEO_HAP_MD,0
1086_IEO_FEA_LO,0
1052_DFA_FEA_XX,0
1037_ITS_NEU_XX,0
1038_TAI_DIS_XX,0
1057_ITH_NEU_XX,0
1010_IOM_NEU_XX,0
1023_TSI_FEA_XX,0
1085_IEO_SAD_LO,0
1053_WSI_ANG_XX,0
1074_WSI_NEU_XX,0
1008_IWL_NEU_XX,0
1074_TSI_NEU_XX,0
1012_TIE_ANG_XX,0
1019_WSI_ANG_XX,0
1011_DFA_ANG_XX,0
1088_IEO_DIS_MD,0
1055_ITS_FEA_XX,0
1069_IWL_HAP_XX,0
1086_ITS_NEU_XX,0
1056_IEO_NEU_XX,0
1055_WSI_FEA_XX,0
1020_ITS_NEU_XX,0
1034_ITH_ANG_XX,0
1042_IWW_FEA_XX,0
1013_IWW_FEA_XX,0
1043_TSI_HAP_XX,0
1065_IWW_NEU_XX,0
1042_IEO_HAP_MD,0
1010_ITH_NEU_XX,0
1060_IWL_SAD_XX,0
1047_TIE_ANG_XX,0
1031_DFA_NEU_XX,0
1046_ITS_FEA_XX,0
1006_TAI_DIS_XX,0
1031_IEO_SAD_LO,0
1058_TAI_NEU_XX,0
1055_TAI_SAD_XX,0
1070_IWL_FEA_XX,0
1020_IWL_NEU_XX,0
1019_DFA_NEU_XX,0
1012_MTI_NEU_XX,0
1057_WSI_ANG_XX,0
1039_WSI_SAD_XX,0
1042_ITS_NEU_XX,0
1075_ITS_HAP_XX,0
1046_TAI_SAD_XX,0
1048_MTI_SAD_XX,0
1036_IWL_ANG_XX,0
1003_TSI_NEU_XX,0
1050_MTI_ANG_XX,0
1033_MTI_SAD_XX,0
1050_IWL_NEU_XX,0
1032_ITS_SAD_XX,0
1048_TSI_NEU_XX,0
1054_IWW_FEA_XX,0
1032_IWW_FEA_XX,0
1015_DFA_ANG_XX,0
1043_DFA_SAD_XX,0
